Date,DAILY_AQI_VALUE
01/01/2017,5
01/02/2017,6
01/03/2017,5
01/04/2017,7
01/05/2017,13
01/06/2017,13
01/07/2017,10
01/08/2017,9
01/09/2017,8
01/10/2017,6
01/11/2017,7
01/12/2017,8
01/13/2017,6
01/14/2017,11
01/15/2017,17
01/16/2017,17
01/17/2017,10
01/19/2017,6
01/20/2017,7
01/21/2017,10
01/22/2017,6
01/23/2017,9
01/24/2017,11
01/25/2017,13
01/26/2017,9
01/27/2017,9
01/28/2017,8
01/29/2017,7
01/30/2017,6
01/31/2017,5
02/02/2017,6
02/03/2017,8
02/04/2017,6
02/05/2017,5
02/06/2017,6
02/07/2017,5
02/08/2017,6
02/09/2017,6
02/10/2017,5
02/11/2017,7
02/17/2017,6
02/18/2017,7
02/19/2017,6
02/20/2017,7
02/21/2017,6
02/22/2017,6
02/23/2017,9
02/24/2017,8
02/25/2017,7
02/26/2017,6
02/27/2017,7
02/28/2017,6
03/01/2017,6
03/02/2017,6
03/03/2017,6
03/04/2017,5
03/05/2017,5
03/06/2017,6
03/07/2017,5
03/08/2017,6
03/09/2017,7
03/10/2017,8
03/11/2017,8
03/12/2017,6
03/13/2017,8
03/14/2017,6
03/15/2017,6
03/16/2017,8
03/17/2017,8
03/18/2017,6
03/19/2017,6
03/20/2017,8
03/21/2017,9
03/22/2017,5
03/23/2017,7
03/24/2017,6
03/25/2017,6
03/26/2017,6
03/27/2017,5
03/28/2017,5
03/29/2017,6
03/30/2017,6
03/31/2017,8
04/01/2017,7
04/02/2017,3
04/03/2017,6
04/04/2017,9
04/05/2017,7
04/06/2017,6
04/07/2017,3
04/08/2017,5
04/09/2017,7
04/10/2017,6
04/11/2017,6
04/14/2017,5
04/15/2017,6
04/16/2017,8
04/17/2017,7
04/18/2017,5
04/19/2017,7
04/20/2017,6
04/21/2017,7
04/22/2017,6
04/23/2017,5
04/24/2017,5
04/25/2017,6
04/26/2017,5
04/27/2017,6
04/28/2017,7
04/29/2017,6
04/30/2017,5
05/01/2017,7
05/02/2017,8
05/03/2017,7
05/04/2017,7
05/05/2017,5
05/06/2017,6
05/07/2017,6
05/08/2017,7
05/09/2017,6
05/10/2017,7
05/11/2017,5
05/12/2017,6
05/13/2017,5
05/14/2017,5
05/15/2017,7
05/16/2017,7
05/17/2017,7
05/18/2017,8
05/19/2017,7
05/20/2017,6
05/21/2017,6
05/22/2017,7
05/23/2017,8
05/24/2017,5
05/25/2017,7
05/26/2017,7
05/27/2017,7
05/28/2017,7
05/29/2017,7
05/30/2017,7
06/01/2017,6
06/02/2017,6
06/03/2017,5
06/04/2017,6
06/05/2017,6
06/06/2017,7
06/07/2017,7
06/08/2017,5
06/09/2017,5
06/10/2017,5
06/11/2017,5
06/12/2017,5
06/13/2017,6
06/14/2017,6
06/15/2017,6
06/16/2017,6
06/17/2017,6
06/18/2017,5
06/19/2017,7
06/20/2017,6
06/22/2017,6
06/23/2017,6
06/24/2017,7
06/25/2017,7
06/26/2017,6
06/27/2017,7
06/28/2017,6
06/29/2017,7
06/30/2017,7
07/01/2017,8
07/02/2017,7
07/03/2017,6
07/04/2017,6
07/05/2017,7
07/06/2017,7
07/07/2017,6
07/08/2017,6
07/09/2017,6
07/10/2017,6
07/11/2017,6
07/12/2017,7
07/13/2017,6
07/14/2017,6
07/15/2017,5
07/16/2017,5
07/17/2017,6
07/18/2017,7
07/19/2017,6
07/20/2017,5
07/21/2017,7
07/22/2017,5
07/23/2017,6
07/24/2017,6
07/25/2017,7
07/27/2017,6
07/28/2017,6
07/29/2017,6
07/30/2017,5
07/31/2017,6
08/01/2017,7
08/02/2017,8
08/03/2017,13
08/04/2017,13
08/05/2017,7
08/10/2017,11
08/15/2017,6
08/16/2017,6
08/17/2017,7
08/18/2017,7
08/19/2017,6
08/20/2017,6
08/21/2017,6
08/22/2017,8
08/23/2017,6
08/24/2017,6
08/25/2017,6
08/26/2017,6
08/27/2017,7
08/28/2017,9
08/29/2017,9
08/30/2017,6
08/31/2017,6
09/01/2017,7
09/02/2017,7
09/03/2017,7
09/04/2017,7
09/05/2017,11
09/06/2017,10
09/07/2017,9
09/08/2017,9
09/09/2017,7
09/10/2017,6
09/11/2017,8
09/12/2017,6
09/19/2017,6
09/26/2017,7
09/27/2017,9
09/28/2017,9
09/29/2017,6
09/30/2017,7
10/01/2017,7
10/02/2017,7
10/03/2017,6
10/04/2017,8
10/05/2017,10
10/06/2017,10
10/07/2017,5
10/08/2017,8
10/10/2017,7
10/11/2017,7
10/12/2017,6
10/13/2017,6
10/14/2017,7
10/15/2017,6
10/16/2017,7
10/17/2017,5
10/18/2017,5
10/19/2017,5
10/20/2017,6
10/21/2017,5
10/22/2017,5
10/23/2017,9
10/24/2017,8
11/03/2017,3
11/04/2017,7
11/05/2017,8
11/06/2017,11
11/07/2017,10
11/08/2017,9
11/09/2017,9
11/10/2017,9
11/11/2017,10
11/12/2017,6
11/13/2017,5
11/14/2017,5
11/16/2017,6
11/17/2017,7
11/18/2017,7
11/19/2017,7
11/20/2017,6
11/21/2017,10
11/29/2017,7
12/01/2017,6
12/02/2017,6
12/03/2017,6
12/04/2017,8
12/05/2017,7
12/06/2017,9
12/07/2017,15
12/08/2017,19
12/09/2017,25
12/10/2017,24
12/11/2017,14
12/12/2017,11
12/13/2017,7
12/14/2017,15
12/15/2017,15
12/16/2017,7
12/17/2017,6
12/18/2017,5
12/19/2017,5
12/20/2017,7
12/21/2017,7
12/22/2017,6
12/23/2017,5
12/24/2017,5
12/25/2017,7
12/26/2017,7
12/27/2017,8
12/28/2017,7
12/29/2017,6
12/30/2017,6
12/31/2017,5
01/01/2017,2
01/02/2017,3
01/03/2017,3
01/04/2017,3
01/05/2017,6
01/06/2017,6
01/07/2017,3
01/08/2017,2
01/09/2017,3
01/10/2017,3
01/11/2017,3
01/12/2017,5
01/13/2017,5
01/14/2017,5
01/15/2017,7
01/16/2017,7
01/17/2017,5
01/18/2017,3
01/19/2017,2
01/20/2017,3
01/21/2017,6
01/22/2017,3
01/24/2017,7
01/25/2017,7
01/26/2017,5
01/27/2017,6
01/28/2017,3
01/29/2017,3
01/30/2017,2
01/31/2017,2
02/01/2017,3
02/02/2017,2
02/03/2017,5
02/04/2017,2
02/05/2017,2
02/06/2017,2
02/07/2017,3
02/08/2017,3
02/09/2017,3
02/10/2017,2
02/11/2017,3
02/12/2017,3
02/13/2017,5
02/14/2017,8
02/15/2017,5
02/16/2017,2
02/17/2017,2
02/18/2017,3
02/19/2017,3
02/20/2017,3
02/21/2017,3
02/22/2017,3
02/23/2017,5
02/24/2017,3
02/25/2017,3
02/26/2017,2
02/27/2017,3
02/28/2017,3
03/01/2017,2
03/02/2017,3
03/03/2017,3
03/04/2017,2
03/05/2017,3
03/06/2017,2
03/07/2017,3
03/08/2017,3
03/09/2017,5
03/10/2017,3
03/11/2017,3
03/12/2017,2
03/13/2017,5
03/14/2017,5
03/15/2017,3
03/16/2017,2
03/17/2017,5
03/18/2017,3
03/19/2017,2
03/20/2017,3
03/21/2017,5
03/22/2017,3
03/23/2017,2
03/24/2017,2
03/25/2017,2
03/26/2017,2
03/27/2017,2
03/28/2017,2
03/29/2017,2
03/30/2017,2
03/31/2017,3
04/01/2017,3
04/02/2017,2
04/03/2017,3
04/04/2017,5
04/05/2017,3
04/06/2017,2
04/07/2017,3
04/08/2017,2
04/09/2017,2
04/10/2017,2
04/11/2017,2
04/12/2017,2
04/13/2017,2
04/14/2017,2
04/15/2017,2
04/16/2017,2
04/17/2017,3
04/18/2017,2
04/19/2017,3
04/20/2017,2
04/21/2017,2
04/22/2017,2
04/23/2017,2
04/24/2017,2
04/25/2017,2
04/26/2017,2
04/27/2017,2
04/28/2017,2
04/29/2017,2
04/30/2017,2
05/01/2017,2
05/02/2017,2
05/03/2017,2
05/06/2017,2
05/07/2017,2
05/08/2017,2
05/09/2017,2
05/10/2017,2
05/11/2017,2
05/12/2017,2
05/13/2017,2
05/14/2017,2
05/15/2017,2
05/16/2017,2
05/17/2017,2
05/18/2017,2
05/19/2017,3
05/20/2017,2
05/21/2017,2
05/22/2017,3
05/23/2017,3
05/24/2017,2
05/25/2017,3
05/26/2017,3
05/27/2017,3
05/28/2017,3
05/29/2017,2
05/30/2017,2
05/31/2017,1
06/01/2017,1
06/02/2017,2
06/03/2017,2
06/04/2017,2
06/05/2017,2
06/06/2017,2
06/08/2017,2
06/09/2017,2
06/10/2017,2
06/13/2017,1
06/14/2017,2
06/15/2017,2
06/16/2017,1
06/17/2017,2
06/18/2017,2
06/19/2017,2
06/20/2017,3
06/21/2017,1
06/22/2017,2
06/23/2017,2
06/24/2017,2
06/25/2017,2
06/26/2017,2
06/27/2017,2
06/28/2017,2
06/29/2017,2
06/30/2017,2
07/01/2017,2
07/02/2017,2
07/03/2017,2
07/06/2017,2
07/07/2017,2
07/08/2017,2
07/09/2017,2
07/10/2017,1
07/11/2017,2
07/15/2017,2
07/16/2017,1
07/17/2017,2
07/18/2017,2
07/19/2017,2
07/21/2017,2
07/22/2017,2
07/23/2017,2
07/24/2017,2
07/25/2017,2
07/26/2017,2
07/27/2017,2
07/28/2017,2
07/29/2017,2
07/30/2017,2
08/03/2017,7
08/04/2017,9
08/05/2017,3
08/06/2017,3
08/07/2017,5
08/08/2017,6
08/09/2017,7
08/10/2017,6
08/15/2017,2
08/16/2017,2
08/17/2017,2
08/24/2017,1
08/25/2017,2
08/26/2017,2
08/27/2017,2
08/29/2017,5
08/30/2017,2
08/31/2017,2
09/01/2017,2
09/02/2017,2
09/03/2017,2
09/06/2017,6
09/07/2017,5
09/08/2017,5
09/09/2017,2
09/10/2017,2
09/11/2017,2
09/13/2017,2
09/14/2017,2
09/15/2017,3
09/16/2017,7
09/17/2017,7
09/18/2017,2
09/19/2017,2
09/20/2017,2
09/21/2017,2
09/22/2017,5
09/23/2017,3
09/24/2017,3
09/26/2017,3
09/27/2017,3
09/28/2017,6
09/29/2017,2
09/30/2017,2
10/01/2017,2
10/02/2017,3
10/04/2017,3
10/05/2017,5
10/06/2017,5
10/07/2017,2
10/08/2017,3
10/09/2017,5
10/10/2017,5
10/11/2017,2
10/12/2017,2
10/13/2017,2
10/14/2017,3
10/15/2017,3
10/16/2017,3
10/17/2017,2
10/18/2017,2
10/19/2017,2
10/20/2017,2
10/21/2017,2
10/22/2017,2
10/23/2017,5
10/24/2017,5
10/25/2017,5
10/26/2017,3
10/27/2017,5
10/28/2017,7
10/29/2017,9
10/30/2017,5
10/31/2017,5
11/01/2017,3
11/02/2017,2
11/03/2017,2
11/04/2017,3
11/05/2017,3
11/06/2017,3
11/07/2017,3
11/08/2017,3
11/09/2017,5
11/10/2017,5
11/11/2017,5
11/12/2017,3
11/13/2017,3
11/14/2017,2
11/15/2017,3
11/16/2017,3
11/17/2017,2
11/18/2017,3
11/19/2017,5
11/20/2017,2
11/22/2017,3
11/23/2017,2
11/24/2017,2
11/25/2017,5
11/26/2017,3
11/27/2017,3
11/28/2017,3
11/29/2017,3
11/30/2017,3
12/01/2017,2
12/02/2017,3
12/03/2017,3
12/04/2017,5
12/05/2017,5
12/06/2017,5
12/07/2017,6
12/08/2017,9
12/09/2017,13
12/10/2017,7
12/11/2017,8
12/12/2017,7
12/13/2017,7
12/14/2017,8
12/15/2017,8
12/16/2017,5
12/17/2017,5
12/18/2017,2
12/19/2017,2
12/20/2017,3
12/21/2017,5
12/22/2017,3
12/23/2017,3
12/24/2017,3
12/25/2017,5
12/26/2017,5
12/27/2017,6
12/28/2017,6
12/29/2017,3
12/30/2017,3
12/31/2017,2